#Project,Sha,Workflow,Job,Result_with_instrumentation,Result_without_instrumentation,Runtime_with_instrumentation,Runtime_without_instrumentation,path_to_pass_fail_log_with_instrumentation,path_to_pass_fail_log_without_instrumentation,path_to_inotify_log,category
matsim-example-project,16c13be3aefaef617557a58c4f375b0d745f2a11,Java CI with Maven,build,success,success,0:05:26,0:04:32,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4433528298/jobs/7778654071,https://github.com/optimizing-ci-builds/matsim-example-project/actions/runs/4300476102/jobs/7496696811,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/matsim-example-project/.github/workflows/maven/build,
jv-fruit-shop,b0775e2f4f88841b151ffab9ba44e1331918edce,Java CI,build,success,success,0:01:12,0:00:15,https://github.com/optimizing-ci-builds/jv-fruit-shop/actions/runs/4433531176/jobs/7778659635,https://github.com/optimizing-ci-builds/jv-fruit-shop/actions/runs/4300479078/jobs/7496703078,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/jv-fruit-shop/.github/workflows/ci/build,
pipelines-java,b5588762ff9d35c4a45d5bc83fabcff87e59720e,CodeQL,Analyze (java),success,success,0:01:43,0:01:34,https://github.com/optimizing-ci-builds/pipelines-java/actions/runs/4433528691/jobs/7778654815,https://github.com/optimizing-ci-builds/pipelines-java/actions/runs/4300476873/jobs/7496698522,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/pipelines-java/.github/workflows/codeql-analysis/analyze_language_java,
Algorithms,c17d3b2207157ebddafa24fbf46e865927c31162,QA check,build,success,success,0:01:00,0:00:22,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4433538416/jobs/7778673999,https://github.com/optimizing-ci-builds/Algorithms/actions/runs/4300470116/jobs/7496684869,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/Algorithms/.github/workflows/check/build,
spring-petclinic-rest,e1b50cded4cae7066253daa7933de37706af8357,Java CI with Maven,build,success,success,0:01:45,0:00:52,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4433526806/jobs/7778651349,https://github.com/optimizing-ci-builds/spring-petclinic-rest/actions/runs/4300475160/jobs/7496695011,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/spring-petclinic-rest/.github/workflows/maven-build/build,
MavenTestCI,90dbebe33491eb8e43f472b442c90df3f9deb699,Java CI,build,success,success,0:01:07,0:00:36,https://github.com/optimizing-ci-builds/MavenTestCI/actions/runs/4433532689/jobs/7778662790,https://github.com/optimizing-ci-builds/MavenTestCI/actions/runs/4300465113/jobs/7496674649,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/MavenTestCI/.github/workflows/ci/build,
aws-cf-templates,814d1df23bc0cdf862defe84999403e1459b542c,CI,build,success,failure,0:01:19,0:00:15,https://github.com/optimizing-ci-builds/aws-cf-templates/actions/runs/4433538726/jobs/7778674629,https://github.com/optimizing-ci-builds/aws-cf-templates/actions/runs/4300470457/jobs/7496685547,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/aws-cf-templates/.github/workflows/ci/build,
dynamic-datasource-spring-boot-starter,21acfb5ee94c7114c6a9ad92e2146359fdb95e4c,Java CI with Maven,build,success,success,0:09:27,0:06:41,https://github.com/optimizing-ci-builds/dynamic-datasource-spring-boot-starter/actions/runs/4433537158/jobs/7778671983,https://github.com/optimizing-ci-builds/dynamic-datasource-spring-boot-starter/actions/runs/4300469347/jobs/7496683400,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/dynamic-datasource-spring-boot-starter/.github/workflows/maven/build,
open-location-code,1bee71480efe2dbe9e19aa56e872e80da0eea389,CI,test-c,success,success,0:01:18,0:00:27,https://github.com/optimizing-ci-builds/open-location-code/actions/runs/4433536435/jobs/7778670451,https://github.com/optimizing-ci-builds/open-location-code/actions/runs/4300468958/jobs/7496682597,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/open-location-code/.github/workflows/main/testc,
open-location-code,1bee71480efe2dbe9e19aa56e872e80da0eea389,CI,test-cpp,success,success,0:00:58,0:00:40,https://github.com/optimizing-ci-builds/open-location-code/actions/runs/4433536435/jobs/7778670607,https://github.com/optimizing-ci-builds/open-location-code/actions/runs/4300468958/jobs/7496682696,https://github.com/UT-SE-Research/ci-analyzes/tree/1678940360-bbc60b2/open-location-code/.github/workflows/main/testcpp,
